,index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
587,587,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,35b31be16edf886e4e1de5eb4f013b03,EVMI2CD,2022/11/28,236584,5
588,588,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,35b31be16edf886e4e1de5eb4f013b03,EVMI2CD,2022/12/26,116372,6
589,589,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,35b31be16edf886e4e1de5eb4f013b03,EVMI2CD,2023/1/23,20407,7
590,590,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,39a2b0965bc80211d5adcca060a3b99b,EVMI2CD,2022/8/1,20,0
591,591,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,39a2b0965bc80211d5adcca060a3b99b,EVMI2CD,2022/8/29,20,1
592,592,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,39a2b0965bc80211d5adcca060a3b99b,EVMI2CD,2022/9/26,1388,2
593,593,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,39a2b0965bc80211d5adcca060a3b99b,EVMI2CD,2022/10/24,28479,3
594,594,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,39a2b0965bc80211d5adcca060a3b99b,EVMI2CD,2022/11/21,23264,4
595,595,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,39a2b0965bc80211d5adcca060a3b99b,EVMI2CD,2022/12/19,13236,5
596,596,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,39a2b0965bc80211d5adcca060a3b99b,EVMI2CD,2023/1/16,4589,6
597,597,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/1/24,1920,0
598,598,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/2/21,10680,1
599,599,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/3/21,2310,2
600,600,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/4/18,1544,3
601,601,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/5/16,37320,4
602,602,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/6/13,26960,5
603,603,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/7/11,71540,6
604,604,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/8/8,44870,7
605,605,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/9/5,43050,8
606,606,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/10/3,19050,9
607,607,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/10/31,30540,10
608,608,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/11/28,22470,11
609,609,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2022/12/26,54870,12
610,610,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,45e6f17a805759fc574ccfdd4dd545da,EVMI2CD,2023/1/23,11070,13
611,611,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/1/10,252,0
612,612,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/2/7,2281,1
613,613,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/3/7,2069,2
614,614,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,47ee7822a8126637e53831bf85d759d8,EVMI2CD,2022/4/4,4870,3
